"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","condition","counterbalancing","order","version","followup","rt","response","task_part","accuracy","stimulus","choices","correct_response","correct","question_order"
"true","false","[]","[]","[]","preload","0","2","0.0-0.0","NLP","C1","o3","NLP_C1","C4","","","","","","","","",""
"","","","","","survey-text","1","6505","0.0-1.0","NLP","C1","o3","NLP_C1","C4","6500","{""participant_name"":""Jude"",""participant_ID"":""018""}","id-question","","","","","",""
"","","","","","survey","2","15221","0.0-2.0","NLP","C1","o3","NLP_C1","C4","8650","{""condition"":""NLP"",""counterbalancing"":""1"",""order"":3}","version","[]","","","","",""
"true","","","","","fullscreen","3","19370","0.0-3.0","NLP","C1","o3","NLP_C1","C4","","","fullscreen","","","","","",""
"","","","","","video-button-response","4","29180","0.0-4.0-0.0-0.0-0.0-0.0","NLP","C1","o3","NLP_C1","C4","null","null","demo","","[""video/shape_inst1_C1.mp4""]","","","",""
"","","","","","video-button-response","5","37459","0.0-4.0-0.0-0.0-0.0-1.0","NLP","C1","o3","NLP_C1","C4","8267","0","demo","","[""video/shape_inst2_C1.mp4""]","","","",""
"","","","","","video-button-response","6","38951","0.0-4.0-0.0-0.0-0.0-2.0","NLP","C1","o3","NLP_C1","C4","null","null","demo","","[""video/trial_correct_C1.mp4""]","","","",""
"","","","","","video-button-response","7","46226","0.0-4.0-0.0-0.0-0.0-3.0","NLP","C1","o3","NLP_C1","C4","7272","0","demo","","[""video/shape_inst3_C1.mp4""]","","","",""
"","","","","","video-button-response","8","47719","0.0-4.0-0.0-0.0-0.0-4.0","NLP","C1","o3","NLP_C1","C4","null","null","demo","","[""video/trial_wrong_C1.mp4""]","","","",""
"","","","","","video-button-response","9","57641","0.0-4.0-0.0-0.0-0.0-5.0","NLP","C1","o3","NLP_C1","C4","null","null","demo","","[""video/shape_inst4_C1.mp4""]","","","",""
"","","","","","video-button-response","10","68946","0.0-4.0-0.0-0.0-0.0-6.0","NLP","C1","o3","NLP_C1","C4","null","null","demo","","[""video/shape_inst5_C1.mp4""]","","","",""
"","","","","","html-button-response","11","76000","0.0-4.0-0.0-0.0-0.0-7.0","NLP","C1","o3","NLP_C1","C4","7052","1","demo","","<p> Do you want to hear the instructions again or are you ready to play the game?</p>","","","",""
"","","","","","html-button-response","12","89275","0.0-4.0-1.0-1.0-0.0-0.0","NLP","C1","o3","NLP_C1","C4","13270","1","day-1","","<img src=""img/char1_C1.png""></img>","[""img/shape/35b.png"",""img/shape/64o.png"",""img/shape/23g.png"",""img/shape/16r.png""]","[]","false",""
"","","","","","video-button-response","13","90780","0.0-4.0-1.0-1.0-0.0-1.0","NLP","C1","o3","NLP_C1","C4","null","null","day-1","","[""video/trial_wrong_C1.mp4""]","","","",""
"","","","","","html-button-response","14","98463","0.0-4.0-1.0-1.0-0.0-0.1","NLP","C1","o3","NLP_C1","C4","7680","0","day-1","","<img src=""img/char1_C1.png""></img>","[""img/shape/43o.png"",""img/shape/65r.png"",""img/shape/54g.png"",""img/shape/36b.png""]","[0,1,2,3]","true",""
"","","","","","video-button-response","15","99954","0.0-4.0-1.0-1.0-0.0-1.1","NLP","C1","o3","NLP_C1","C4","null","null","day-1","","[""video/trial_correct_C1.mp4""]","","","",""
"","","","","","html-button-response","16","106115","0.0-4.0-1.0-1.0-0.0-0.2","NLP","C1","o3","NLP_C1","C4","6159","2","day-1","","<img src=""img/char1_C1.png""></img>","[""img/shape/34o.png"",""img/shape/45g.png"",""img/shape/26b.png"",""img/shape/83r.png""]","[0,1,2,3]","true",""
"","","","","","video-button-response","17","107591","0.0-4.0-1.0-1.0-0.0-1.2","NLP","C1","o3","NLP_C1","C4","null","null","day-1","","[""video/trial_correct_C1.mp4""]","","","",""
"","","","","","html-button-response","18","111361","0.0-4.0-1.0-1.0-0.0-0.3","NLP","C1","o3","NLP_C1","C4","3768","1","day-1","","<img src=""img/char1_C1.png""></img>","[""img/shape/13b.png"",""img/shape/74r.png"",""img/shape/46o.png"",""img/shape/85g.png""]","[]","false",""
"","","","","","video-button-response","19","112841","0.0-4.0-1.0-1.0-0.0-1.3","NLP","C1","o3","NLP_C1","C4","null","null","day-1","","[""video/trial_wrong_C1.mp4""]","","","",""
"","","","","","html-button-response","20","115489","0.0-4.0-1.0-1.0-0.0-0.4","NLP","C1","o3","NLP_C1","C4","2647","1","day-1","","<img src=""img/char1_C1.png""></img>","[""img/shape/25r.png"",""img/shape/73o.png"",""img/shape/86g.png"",""img/shape/44b.png""]","[0,1,2,3]","true",""
"","","","","","video-button-response","21","116978","0.0-4.0-1.0-1.0-0.0-1.4","NLP","C1","o3","NLP_C1","C4","null","null","day-1","","[""video/trial_correct_C1.mp4""]","","","",""
"","","","","","html-button-response","22","122022","0.0-4.0-1.0-1.0-0.0-0.5","NLP","C1","o3","NLP_C1","C4","5042","1","day-1","","<img src=""img/char1_C1.png""></img>","[""img/shape/43r.png"",""img/shape/15g.png"",""img/shape/66b.png"",""img/shape/24o.png""]","[0,1,2,3]","true",""
"","","","","","video-button-response","23","123506","0.0-4.0-1.0-1.0-0.0-1.5","NLP","C1","o3","NLP_C1","C4","null","null","day-1","","[""video/trial_correct_C1.mp4""]","","","",""
"","","","","","html-button-response","24","128605","0.0-4.0-1.0-1.0-0.0-0.6","NLP","C1","o3","NLP_C1","C4","5097","0","day-1","","<img src=""img/char1_C1.png""></img>","[""img/shape/63g.png"",""img/shape/76b.png"",""img/shape/15o.png"",""img/shape/34r.png""]","[0,1,2,3]","true",""
"","","","","","video-button-response","25","130077","0.0-4.0-1.0-1.0-0.0-1.6","NLP","C1","o3","NLP_C1","C4","null","null","day-1","","[""video/trial_correct_C1.mp4""]","","","",""
"","","","","","html-button-response","26","132869","0.0-4.0-1.0-1.0-0.0-0.7","NLP","C1","o3","NLP_C1","C4","2790","0","day-1","","<img src=""img/char1_C1.png""></img>","[""img/shape/14g.png"",""img/shape/33o.png"",""img/shape/56r.png"",""img/shape/75b.png""]","[0,1,2,3]","true",""
"","","","","","video-button-response","27","134344","0.0-4.0-1.0-1.0-0.0-1.7","NLP","C1","o3","NLP_C1","C4","null","null","day-1","","[""video/trial_correct_C1.mp4""]","","","",""
"","","","","","video-button-response","28","149789","0.0-4.0-1.0-2.0","NLP","C1","o3","NLP_C1","C4","null","null","night1","","[""video/night1_NLP_C1.mp4""]","","","",""
"","","","","","html-button-response","29","153654","0.0-4.0-2.0-1.0-0.0-0.0","NLP","C1","o3","NLP_C1","C4","3863","0","day-2","","<img src=""img/char1_C1.png""></img>","[""img/shape/35g.png"",""img/shape/16b.png"",""img/shape/73r.png"",""img/shape/54o.png""]","[]","false",""
"","","","","","video-button-response","30","155122","0.0-4.0-2.0-1.0-0.0-1.0","NLP","C1","o3","NLP_C1","C4","null","null","day-2","","[""video/trial_wrong_C1.mp4""]","","","",""
"","","","","","html-button-response","31","159333","0.0-4.0-2.0-1.0-0.0-0.1","NLP","C1","o3","NLP_C1","C4","4210","1","day-2","","<img src=""img/char1_C1.png""></img>","[""img/shape/53g.png"",""img/shape/46r.png"",""img/shape/85o.png"",""img/shape/74b.png""]","[0,1,2,3]","true",""
"","","","","","video-button-response","32","160819","0.0-4.0-2.0-1.0-0.0-1.1","NLP","C1","o3","NLP_C1","C4","null","null","day-2","","[""video/trial_correct_C1.mp4""]","","","",""
"","","","","","html-button-response","33","162697","0.0-4.0-2.0-1.0-0.0-0.2","NLP","C1","o3","NLP_C1","C4","1877","1","day-2","","<img src=""img/char1_C1.png""></img>","[""img/shape/44g.png"",""img/shape/33r.png"",""img/shape/65b.png"",""img/shape/16o.png""]","[0,1,2,3]","true",""
"","","","","","video-button-response","34","164168","0.0-4.0-2.0-1.0-0.0-1.2","NLP","C1","o3","NLP_C1","C4","null","null","day-2","","[""video/trial_correct_C1.mp4""]","","","",""
"","","","","","html-button-response","35","166045","0.0-4.0-2.0-1.0-0.0-0.3","NLP","C1","o3","NLP_C1","C4","1876","3","day-2","","<img src=""img/char1_C1.png""></img>","[""img/shape/25b.png"",""img/shape/14o.png"",""img/shape/36g.png"",""img/shape/53r.png""]","[0,1,2,3]","true",""
"","","","","","video-button-response","36","167517","0.0-4.0-2.0-1.0-0.0-1.3","NLP","C1","o3","NLP_C1","C4","null","null","day-2","","[""video/trial_correct_C1.mp4""]","","","",""
"","","","","","html-button-response","37","169353","0.0-4.0-2.0-1.0-0.0-0.4","NLP","C1","o3","NLP_C1","C4","1834","0","day-2","","<img src=""img/char1_C1.png""></img>","[""img/shape/15r.png"",""img/shape/34b.png"",""img/shape/66g.png"",""img/shape/23o.png""]","[0,1,2,3]","true",""
"","","","","","video-button-response","38","170824","0.0-4.0-2.0-1.0-0.0-1.4","NLP","C1","o3","NLP_C1","C4","null","null","day-2","","[""video/trial_correct_C1.mp4""]","","","",""
"","","","","","html-button-response","39","172966","0.0-4.0-2.0-1.0-0.0-0.5","NLP","C1","o3","NLP_C1","C4","2140","0","day-2","","<img src=""img/char1_C1.png""></img>","[""img/shape/55r.png"",""img/shape/26g.png"",""img/shape/43b.png"",""img/shape/74o.png""]","[0,1,2,3]","true",""
"","","","","","video-button-response","40","174451","0.0-4.0-2.0-1.0-0.0-1.5","NLP","C1","o3","NLP_C1","C4","null","null","day-2","","[""video/trial_correct_C1.mp4""]","","","",""
"","","","","","html-button-response","41","176479","0.0-4.0-2.0-1.0-0.0-0.6","NLP","C1","o3","NLP_C1","C4","2027","2","day-2","","<img src=""img/char1_C1.png""></img>","[""img/shape/75g.png"",""img/shape/63o.png"",""img/shape/86r.png"",""img/shape/54b.png""]","[0,1,2,3]","true",""
"","","","","","video-button-response","42","177949","0.0-4.0-2.0-1.0-0.0-1.6","NLP","C1","o3","NLP_C1","C4","null","null","day-2","","[""video/trial_correct_C1.mp4""]","","","",""
"","","","","","html-button-response","43","179614","0.0-4.0-2.0-1.0-0.0-0.7","NLP","C1","o3","NLP_C1","C4","1663","0","day-2","","<img src=""img/char1_C1.png""></img>","[""img/shape/64r.png"",""img/shape/13g.png"",""img/shape/56b.png"",""img/shape/45o.png""]","[]","false",""
"","","","","","video-button-response","44","181086","0.0-4.0-2.0-1.0-0.0-1.7","NLP","C1","o3","NLP_C1","C4","null","null","day-2","","[""video/trial_wrong_C1.mp4""]","","","",""
"","","","","","video-button-response","45","196553","0.0-4.0-2.0-2.0","NLP","C1","o3","NLP_C1","C4","null","null","night2","","[""video/night2_NLP_C1.mp4""]","","","",""
"","","","","","html-button-response","46","203752","0.0-4.0-3.0-0.0-0.0","NLP","C1","o3","NLP_C1","C4","7196","1","day-3","","<img src=""img/char1_C1.png""></img>","[""img/shape/85r.png"",""img/shape/46b.png"",""img/shape/53o.png"",""img/shape/24g.png""]","[0,1,2,3]","true",""
"","","","","","video-button-response","47","205236","0.0-4.0-3.0-0.0-1.0","NLP","C1","o3","NLP_C1","C4","null","null","day-3","","[""video/trial_correct_C1.mp4""]","","","",""
"","","","","","html-button-response","48","207299","0.0-4.0-3.0-0.0-0.1","NLP","C1","o3","NLP_C1","C4","2062","0","day-3","","<img src=""img/char1_C1.png""></img>","[""img/shape/15b.png"",""img/shape/83g.png"",""img/shape/44r.png"",""img/shape/26o.png""]","[0,1,2,3]","true",""
"","","","","","video-button-response","49","208777","0.0-4.0-3.0-0.0-1.1","NLP","C1","o3","NLP_C1","C4","null","null","day-3","","[""video/trial_correct_C1.mp4""]","","","",""
"","","","","","html-button-response","50","211765","0.0-4.0-3.0-0.0-0.2","NLP","C1","o3","NLP_C1","C4","2987","2","day-3","","<img src=""img/char1_C1.png""></img>","[""img/shape/45r.png"",""img/shape/13o.png"",""img/shape/24b.png"",""img/shape/56g.png""]","[]","false",""
"","","","","","video-button-response","51","213236","0.0-4.0-3.0-0.0-1.2","NLP","C1","o3","NLP_C1","C4","null","null","day-3","","[""video/trial_wrong_C1.mp4""]","","","",""
"","","","","","html-button-response","52","215064","0.0-4.0-3.0-0.0-0.3","NLP","C1","o3","NLP_C1","C4","1827","3","day-3","","<img src=""img/char1_C1.png""></img>","[""img/shape/75o.png"",""img/shape/23r.png"",""img/shape/34g.png"",""img/shape/86b.png""]","[0,1,2,3]","true",""
"","","","","","video-button-response","53","216542","0.0-4.0-3.0-0.0-1.3","NLP","C1","o3","NLP_C1","C4","null","null","day-3","","[""video/trial_correct_C1.mp4""]","","","",""
"","","","","","html-button-response","54","218878","0.0-4.0-3.0-0.0-0.4","NLP","C1","o3","NLP_C1","C4","2334","0","day-3","","<img src=""img/char1_C1.png""></img>","[""img/shape/33b.png"",""img/shape/25g.png"",""img/shape/14r.png"",""img/shape/66o.png""]","[0,1,2,3]","true",""
"","","","","","video-button-response","55","220361","0.0-4.0-3.0-0.0-1.4","NLP","C1","o3","NLP_C1","C4","null","null","day-3","","[""video/trial_correct_C1.mp4""]","","","",""
"","","","","","html-button-response","56","222208","0.0-4.0-3.0-0.0-0.5","NLP","C1","o3","NLP_C1","C4","1846","3","day-3","","<img src=""img/char1_C1.png""></img>","[""img/shape/35r.png"",""img/shape/43g.png"",""img/shape/76o.png"",""img/shape/64b.png""]","[0,1,2,3]","true",""
"","","","","","video-button-response","57","223689","0.0-4.0-3.0-0.0-1.5","NLP","C1","o3","NLP_C1","C4","null","null","day-3","","[""video/trial_correct_C1.mp4""]","","","",""
"","","","","","html-button-response","58","225471","0.0-4.0-3.0-0.0-0.6","NLP","C1","o3","NLP_C1","C4","1780","2","day-3","","<img src=""img/char1_C1.png""></img>","[""img/shape/16g.png"",""img/shape/54r.png"",""img/shape/73b.png"",""img/shape/35o.png""]","[]","false",""
"","","","","","video-button-response","59","226953","0.0-4.0-3.0-0.0-1.6","NLP","C1","o3","NLP_C1","C4","null","null","day-3","","[""video/trial_wrong_C1.mp4""]","","","",""
"","","","","","html-button-response","60","228919","0.0-4.0-3.0-0.0-0.7","NLP","C1","o3","NLP_C1","C4","1965","0","day-3","","<img src=""img/char1_C1.png""></img>","[""img/shape/55b.png"",""img/shape/74g.png"",""img/shape/63r.png"",""img/shape/36o.png""]","[0,1,2,3]","true",""
